序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
133,603608,天创时尚,5.67,4.61,0.25,475911.0,267702614.0,11.62,5.95,5.32,5.46,5.42,2.57,11.34,-94.24,1.96,2379733564.0,2379733564.0,-0.18,0.0,28.86,29.45
134,836957,汉维科技,8.9,4.58,0.39,23324.0,20285799.64,7.64,8.93,8.28,8.55,8.51,1.09,8.69,44.44,2.51,954981873.0,238745473.0,0.0,-0.22,83.13,73.83
135,002716,金贵银业,2.98,4.56,0.13,852308.0,254076163.85,7.37,3.09,2.88,2.89,2.85,5.49,3.87,-259.16,3.63,6587227682.0,6571325481.0,0.34,0.0,1.02,-1.0
136,834765,美之高,8.44,4.46,0.36,13733.0,11439543.27,5.82,8.5,8.03,8.18,8.08,1.52,3.12,30.78,1.8,587534091.0,371337170.0,0.0,0.48,52.62,47.04
137,300833,浩洋股份,91.79,4.43,3.89,6658.0,60286236.8,6.91,91.98,85.91,87.9,87.9,1.96,1.24,18.7,3.41,7740375330.0,4914098170.0,0.7,0.96,-3.61,12.43
138,300339,润和软件,27.88,4.42,1.18,837436.0,2347348173.25,8.88,28.89,26.52,26.86,26.7,1.28,10.83,169.63,6.69,22203934247.0,21564776214.0,0.0,0.04,14.31,50.13
139,834770,艾能聚,7.83,4.4,0.33,118910.0,92760159.08,9.07,8.18,7.5,7.63,7.5,1.46,18.07,13.92,1.84,1018934930.0,515326306.0,0.0,0.38,58.82,50.29
140,301011,华立科技,22.5,4.31,0.93,47445.0,105984406.51,6.35,22.87,21.5,21.65,21.57,2.01,6.06,55.39,4.82,3300570000.0,1760890230.0,0.0,-0.13,-1.49,4.8
141,301205,联特科技,121.32,4.3,5.0,66959.0,798495635.74,10.23,124.9,113.0,118.26,116.32,1.01,9.85,551.44,11.11,15740542080.0,8244698530.0,0.03,0.02,37.69,479.37
142,601127,赛力斯,85.99,4.29,3.54,655497.0,5589625582.0,7.68,87.98,81.65,82.0,82.45,1.5,4.35,-42.38,13.98,129620622774.0,129620622774.0,-0.01,0.0,88.53,115.03
143,872351,华光源海,9.58,4.24,0.39,189080.0,192216681.58,17.3,10.86,9.27,10.4,9.19,4.67,49.29,25.25,2.01,873077506.0,367493006.0,-0.21,-1.24,71.07,76.43
144,002572,索菲亚,16.78,4.22,0.68,170828.0,284508103.34,5.96,17.09,16.13,16.19,16.1,2.63,2.67,12.06,2.51,15309569238.0,10718968992.0,0.96,0.96,-11.78,-3.89
145,002400,省广集团,6.42,4.22,0.26,2864613.0,1823886137.97,7.79,6.58,6.1,6.12,6.16,2.34,17.11,95.82,2.32,11192224362.0,10748339155.0,0.16,-0.16,22.05,51.42
146,002343,慈文传媒,8.16,4.21,0.33,875006.0,718563463.06,12.01,8.61,7.67,7.78,7.83,1.87,18.42,120.92,4.02,3875589438.0,3875589438.0,0.0,0.25,24.01,25.35
147,600156,华升股份,5.45,4.21,0.22,282553.0,152183495.0,7.84,5.59,5.18,5.22,5.23,1.66,7.03,-74.25,5.21,2191503326.0,2191503326.0,0.37,0.74,19.26,14.98
148,301533,威马农机,36.54,4.19,1.47,28181.0,102796543.46,6.36,37.33,35.1,35.15,35.07,2.02,13.02,49.39,3.27,3592126818.0,790615359.0,0.16,0.22,-16.04,23.86
149,600825,新华传媒,5.52,4.15,0.22,893569.0,481862137.0,5.85,5.53,5.22,5.29,5.3,1.82,8.55,152.99,2.28,5767780932.0,5767780932.0,0.18,0.0,24.6,39.04
150,837592,华信永道,25.88,4.14,1.03,62786.0,159129685.96,12.76,26.69,23.52,24.85,24.85,0.69,42.04,-28.12,4.93,1608442000.0,386491299.0,0.0,-0.08,139.41,145.31
151,603661,恒林股份,33.95,4.14,1.35,18210.0,61038711.0,5.31,34.22,32.49,32.58,32.6,2.26,1.31,9.68,1.3,4721325702.0,4721325702.0,0.15,0.56,0.5,23.5
152,002490,山东墨龙,5.07,4.11,0.2,1186974.0,610167493.24,11.09,5.36,4.82,4.96,4.87,5.1,21.92,-12.29,5.45,4045091388.0,2746000091.0,0.0,-0.39,19.29,20.14
153,002157,*ST 正邦,2.79,4.1,0.11,589658.0,162813284.66,4.48,2.8,2.68,2.7,2.68,1.35,1.09,-6.9,1.35,25941646936.0,15070377605.0,0.0,0.36,-3.13,-34.04
154,002972,科安达,12.23,4.09,0.48,101790.0,125162116.29,11.06,12.93,11.63,11.78,11.75,6.26,8.23,44.25,2.48,3008687624.0,1512528593.0,0.0,0.0,4.98,9.0
155,600306,*ST商城,11.98,4.08,0.47,21148.0,25168848.0,5.39,12.09,11.47,11.51,11.51,1.2,1.19,-5.76,-4.96,2774267518.0,2126121101.0,0.34,-0.42,35.21,40.94
156,301171,易点天下,22.0,4.07,0.86,302168.0,663117548.31,10.36,22.78,20.59,21.12,21.14,0.91,9.79,43.07,3.08,10381489910.0,6793050550.0,-0.14,-0.14,30.33,17.96
157,300010,*ST豆神,2.82,4.06,0.11,218597.0,60584716.58,5.17,2.84,2.7,2.72,2.71,1.59,2.66,-18.19,-3.26,2448675505.0,2317251460.0,0.36,0.71,20.0,-35.17
